wav_filename,wav_filesize,transcript
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_0.wav,32044,Hello friends! 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_1.wav,44556,I am Dr. Ritu Sharma. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_2.wav,82284,"I am faculty at National Law University, Delhi. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_3.wav,151724,"We are here as a part of MOOCs programme, you must have gone through the various modules "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_4.wav,71084,on MOOCs and other subjects. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_5.wav,168364,"Today also, we are going to talk about, as a part of MOOCs programme, we are going to "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_6.wav,184044,"talk about reliability and validity, which is a very important concept of research methodology. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_7.wav,188844,You will be needing this concept again and again in all types of research that you carry out. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_8.wav,155564,"So, while understanding the concept of reliability and validity, we will be talking about the "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_9.wav,86732,meaning and definitions of reliability and validity. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_10.wav,187596,"We will also be discussing about the types of reliability, we will understand how to "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_11.wav,112684,reach the reliability of qualitative datas. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_12.wav,153644,And then we will go onto the discussing the concept of validity and what relationship 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_13.wav,70732,does reliability has with validity. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_14.wav,207116,"So, when we talk about the concept of reliability, in simple term, the concept of reliability "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_15.wav,205484,means the extent to which a measurement procedure gives the same results however and whenever 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_16.wav,45164,it is carried out. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_17.wav,143404,Validity is the con… extent to which it gives the correct results. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_18.wav,148524,"So there is a, they are very famous scholars named Kirk and Miller. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_19.wav,108204,They are given a beautiful example of physical world. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_20.wav,184076,"For example, a thermometer shows the same reading of eighty two degree celsius every "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_21.wav,104940,"time we plugged in, in a boiling water. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_22.wav,88396,It is obviously a reliable thermometer. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_23.wav,181164,But a thermometer that gives different reading near about hundred Celsius each time it is 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_24.wav,182764,"placed in boiling water may not be reliable, but it is certainly quite valid. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_25.wav,213804,"So in other words, validity refers to the true or exact value of a finding. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_26.wav,254092,Any research that wants to be called as objective has to be both reliable as well as valid. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_27.wav,166476,"So according to Oxford Dictionary, when we talk about reliability, reliability is the "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_28.wav,204172,"degree to which the results of a measurement, calculation or specification can be dependent "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_29.wav,119084,on the accurate on to be accurate. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_30.wav,225964,"So, one can clearly say that reliability is about consistency, and a research would be "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_31.wav,177356,"reliable if when repeated using the same method, it brings about the same results. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_32.wav,235212,"A researcher need to be, need to establish the usefulness of the data he or she gathered "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_33.wav,220844,to ensure that whe… whether the conclusion reached are representative enough to be applicable 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_34.wav,179884,to everyone and is it possible to repeat the research if others want to carry it out? 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_35.wav,129676,"And if they do, will they get the similar results? "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_36.wav,243852,So these questions can only be answered by researchers with the help of reliability and validity. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_37.wav,209676,"So reliability of data becomes important because if we do not have reliable data, the conclusion "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_38.wav,114892,reached on their basis will be quite useless. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_39.wav,185324,"So, to have a better understanding of the concept of reliability, there are two things "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_40.wav,51244,which we need to understand. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_41.wav,107276,They are consistency and precisions. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_42.wav,168652,"As it is important to obtain consistency, similar response to the same question in similar "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_43.wav,238764,circumstances and one has to know how systematic is the form of data that is based on asking 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_44.wav,134444,people questions about things that they know little about. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_45.wav,214124,"So, another typical feature which is very important with regard to reliability is repeatability. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_46.wav,206444,"That is, if anyone wants to carry out the same research as has been carried out by another "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_47.wav,161644,"researcher, would he get the same results as the result of the researcher who carried "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_48.wav,48716,out the research first? 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_49.wav,182412,"If this happens, then the research of the first researcher would have repeatedly of "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_50.wav,79116,the data collected method. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_51.wav,214092,"So, there are four general estimators that researcher may encounter. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_52.wav,219564,"One, observer reliability, that is the degree to which different observer gives consistent answer. "
