wav_filename,wav_filesize,duration
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_15_Use_of_Law_Library_in_Law_62.wav,321644,10.05
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_25_Primary_and_secondary_156.wav,266604,8.33
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_29_Projective_Technique_385.wav,270444,8.45
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_5_Research_problem_35.wav,293836,9.181
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_28_Case_study_125.wav,172556,5.391
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_26_Survey_Method_269.wav,163244,5.1
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_31_SPSS_199.wav,274892,8.589
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_32_Drawing_Conclusion_73.wav,177964,5.56
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_2_Legal_Research_169.wav,228844,7.15
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_6_Himanshu_research_design_77.wav,168364,5.26
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_22_Scaling_115.wav,109132,3.409
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_1_Basics_of_Research_203.wav,191404,5.98
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_18_Quantitative_Research_406.wav,126124,3.94
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_8_Qualitative_&_Doctrinal_Methods_in_Research_105.wav,137996,4.311
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_10_Sampling_85.wav,183084,5.72
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_23_Scaling_2_197.wav,198124,6.19
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_4_Socio_Legal_Research_88.wav,212236,6.631
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_15_Use_of_Law_Library_in_Law_44.wav,275244,8.6
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_32_Drawing_Conclusion_184.wav,195212,6.099
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_33_Report_Writing_328.wav,198764,6.21
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_33_Report_Writing_313.wav,160044,5.0
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_30_Data_Processing_37.wav,208044,6.5
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_20_Research_Proposal_448.wav,152044,4.75
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_26_Survey_Method_301.wav,65292,2.039
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_16_Report_writing_160.wav,168716,5.271
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_30_Data_Processing_171.wav,124556,3.891
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_16_Report_writing_76.wav,150444,4.7
