id,start_times,end_times,transcript
Module_24_Reliability_0,429,1429,Hello friends! 
Module_24_Reliability_1,1429,2820,I am Dr. Ritu Sharma. 
Module_24_Reliability_2,2820,5390,"I am faculty at National Law University, Delhi. "
Module_24_Reliability_3,5390,10130,"We are here as a part of MOOCs programme, you must have gone through the various modules "
Module_24_Reliability_4,10130,12350,on MOOCs and other subjects. 
Module_24_Reliability_5,12350,17610,"Today also, we are going to talk about, as a part of MOOCs programme, we are going to "
Module_24_Reliability_6,17610,23360,"talk about reliability and validity, which is a very important concept of research methodology. "
Module_24_Reliability_7,23360,29260,You will be needing this concept again and again in all types of research that you carry out. 
Module_24_Reliability_8,29260,34120,"So, while understanding the concept of reliability and validity, we will be talking about the "
Module_24_Reliability_9,34120,36829,meaning and definitions of reliability and validity. 
Module_24_Reliability_10,36829,42690,"We will also be discussing about the types of reliability, we will understand how to "
Module_24_Reliability_11,42690,46210,reach the reliability of qualitative datas. 
Module_24_Reliability_12,46210,51010,And then we will go onto the discussing the concept of validity and what relationship 
Module_24_Reliability_13,51010,53219,does reliability has with validity. 
Module_24_Reliability_14,53219,59690,"So, when we talk about the concept of reliability, in simple term, the concept of reliability "
Module_24_Reliability_15,59690,66110,means the extent to which a measurement procedure gives the same results however and whenever 
Module_24_Reliability_16,66110,67520,it is carried out. 
Module_24_Reliability_17,67520,72000,Validity is the con… extent to which it gives the correct results. 
Module_24_Reliability_18,72000,76640,"So there is a, they are very famous scholars named Kirk and Miller. "
Module_24_Reliability_19,76640,80020,They are given a beautiful example of physical world. 
Module_24_Reliability_20,80020,85771,"For example, a thermometer shows the same reading of eighty two degree celsius every "
Module_24_Reliability_21,85771,89049,"time we plugged in, in a boiling water. "
Module_24_Reliability_22,89049,91810,It is obviously a reliable thermometer. 
Module_24_Reliability_23,91810,97470,But a thermometer that gives different reading near about hundred Celsius each time it is 
Module_24_Reliability_24,97470,103180,"placed in boiling water may not be reliable, but it is certainly quite valid. "
Module_24_Reliability_25,103180,109860,"So in other words, validity refers to the true or exact value of a finding. "
Module_24_Reliability_26,109860,117799,Any research that wants to be called as objective has to be both reliable as well as valid. 
Module_24_Reliability_27,117799,123000,"So according to Oxford Dictionary, when we talk about reliability, reliability is the "
Module_24_Reliability_28,123000,129379,"degree to which the results of a measurement, calculation or specification can be dependent "
Module_24_Reliability_29,129379,133099,on the accurate on to be accurate. 
Module_24_Reliability_30,133099,140159,"So, one can clearly say that reliability is about consistency, and a research would be "
Module_24_Reliability_31,140159,145700,"reliable if when repeated using the same method, it brings about the same results. "
Module_24_Reliability_32,145700,153049,"A researcher need to be, need to establish the usefulness of the data he or she gathered "
Module_24_Reliability_33,153049,159949,to ensure that whe… whether the conclusion reached are representative enough to be applicable 
Module_24_Reliability_34,159949,165569,to everyone and is it possible to repeat the research if others want to carry it out? 
Module_24_Reliability_35,165569,169620,"And if they do, will they get the similar results? "
Module_24_Reliability_36,169620,177239,So these questions can only be answered by researchers with the help of reliability and validity. 
Module_24_Reliability_37,177239,183790,"So reliability of data becomes important because if we do not have reliable data, the conclusion "
Module_24_Reliability_38,183790,187379,reached on their basis will be quite useless. 
Module_24_Reliability_39,187379,193169,"So, to have a better understanding of the concept of reliability, there are two things "
Module_24_Reliability_40,193169,194769,which we need to understand. 
Module_24_Reliability_41,194769,198120,They are consistency and precisions. 
